Fecha	2020-08-25	12:02:02
Operador	Juan Manuel6
Probeta	TY344
Material	ASDF 456
Dureza	454
Tratamiento	Recubierto con TIN
Radio	6
Distancia	10
Carga	5
Bolilla	QWER 343
Diametro	6
fuerza[kg]	distancia[m]	tiempo[s]	temperatura[°C]	humedad[%]
0,0686	376,99	0,4	55	25,5
0,686	527,79	0,8	55	25,5
0,686	678,58	1,2	55	25,5
0,6958	829,38	1,6	55	25,5
0,6958	980,18	2	55	25,5
0,7056	1130,97	2,4	55	25,5
0,7056	1281,77	2,8	55	25,5
0,7056	1432,57	3,2	55	25,5
0,7056	1583,36	3,6	55	25,5
0,7056	1734,16	4	55	25,5
0,7154	1884,96	4,4	55	25,5
0,7154	1998,05	4,8	55	25,5
0,7252	2148,85	5,2	55	25,5
0,7252	2299,65	5,6	55	25,5
0,7252	2450,44	6	55	25,5
0,7252	2601,24	6,4	55	25,5
0,7252	2752,04	6,8	55	25,5
0,735	2902,83	7,2	55	25,5
0,735	3053,63	7,6	55	25,5
0,7448	3204,42	8	55	25,5
0,7448	3355,22	8,4	55	25,5
0,7546	3506,02	8,8	55	25,5
0,7546	3656,81	9,2	55	25,5
0,7644	3807,61	9,6	55	25,5
0,7644	3958,41	10	55	25,5
0,7644	4109,20	10,4	55	25,5
0,7742	4260,00	10,8	55	25,5
0,7742	4410,80	11,2	55	25,5
0,7742	4561,59	11,6	55	25,5
0,7742	4712,39	12	55	25,5
0,784	4863,19	12,4	55	25,5
0,784	5013,98	12,8	55	25,5
0,784	5164,78	13,2	55	25,5
0,784	5315,57	13,6	55	25,5
0,7938	5466,37	14	55	25,5
0,7938	5617,17	14,4	55	25,5
0,7938	5767,96	14,8	55	25,5
0,7938	5918,76	15,2	55	25,5
0,8036	6069,56	15,6	55	25,5
0,8036	6220,35	16	55	25,5
0,8036	6371,15	16,4	55	25,5
0,8134	6521,95	16,8	55	25,5
0,8134	6672,74	17,2	55	25,5
0,8134	6823,54	17,6	55	25,5
0,8232	6974,34	18	55	25,5
0,8232	7125,13	18,4	55	25,5
0,8232	7275,93	18,8	55	25,5
0,833	7426,73	19,2	55	25,5
0,833	7577,52	19,6	55	25,5
0,833	7728,32	20	55	25,5
0,8526	7841,42	20,4	55	25,5
1,0094	7992,21	20,8	55	25,5
1,0094	8143,01	21,2	55	25,5
1,0584	8293,80	21,6	55	25,5
1,078	8444,60	22	55	25,5
1,0878	8595,40	22,4	55	25,5
1,0976	8746,19	22,8	55	25,5
1,0976	8896,99	23,2	55	25,5
1,0976	9047,79	23,6	55	25,5
1,0976	9198,58	24	55	25,5
1,0976	9349,38	24,4	55	25,5
1,0976	9500,18	24,8	55	25,5
1,0976	9650,97	25,2	55	25,5
1,1074	9801,77	25,6	55	25,5
1,1074	9952,57	26	55	25,5
0,0686	339,29	0,4	55	25,5
0,686	490,09	0,8	55	25,5
0,686	640,88	1,2	55	25,5
0,6958	791,68	1,6	55	25,5
0,6958	942,48	2	55	25,5
0,7056	1093,27	2,4	55	25,5
0,7056	1244,07	2,8	55	25,5
0,7056	1394,87	3,2	55	25,5
0,7056	1545,66	3,6	55	25,5
0,7056	1696,46	4	55	25,5
0,7154	1847,26	4,4	55	25,5
0,7154	2073,45	4,8	55	25,5
0,7252	1998,05	5,2	55	25,5
0,7252	2148,85	5,6	55	25,5
0,7252	2299,65	6	55	25,5
0,7252	2450,44	6,4	55	25,5
0,7252	2601,24	6,8	55	25,5
0,735	2752,04	7,2	55	25,5
0,735	2902,83	7,6	55	25,5
0,7448	3053,63	8	55	25,5
0,7448	3204,42	8,4	55	25,5
0,7546	3355,22	8,8	55	25,5
0,7546	3506,02	9,2	55	25,5
0,7644	3656,81	9,6	55	25,5
0,7644	3807,61	10	55	25,5
0,7644	3958,41	10,4	55	25,5
0,7742	4109,20	10,8	55	25,5
0,7742	4260,00	11,2	55	25,5
0,7742	4410,80	11,6	55	25,5
0,7742	4561,59	12	55	25,5
0,784	4712,39	12,4	55	25,5
0,784	4825,49	12,8	55	25,5
0,784	4976,28	13,2	55	25,5
0,784	5127,08	13,6	55	25,5
0,7938	5277,88	14	55	25,5
0,7938	5428,67	14,4	55	25,5
0,7938	5579,47	14,8	55	25,5
0,7938	2073,45	15,2	55	25,5
0,8036	5730,27	15,6	55	25,5
0,8036	5881,06	16	55	25,5
0,8036	6031,86	16,4	55	25,5
0,8134	6182,65	16,8	55	25,5
0,8134	6333,45	17,2	55	25,5
0,8134	6484,25	17,6	55	25,5
0,8232	6635,04	18	55	25,5
0,8232	6785,84	18,4	55	25,5
0,8232	6936,64	18,8	55	25,5
0,833	7087,43	19,2	55	25,5
0,833	7238,23	19,6	55	25,5
0,833	7389,03	20	55	25,5
0,8526	7539,82	20,4	55	25,5
1,0094	7690,62	20,8	55	25,5
1,0094	7841,42	21,2	55	25,5
1,0584	7992,21	21,6	55	25,5
1,078	8143,01	22	55	25,5
1,0878	8293,80	22,4	55	25,5
1,0976	8444,60	22,8	55	25,5
1,0976	8595,40	23,2	55	25,5
1,0976	8746,19	23,6	55	25,5
1,0976	8896,99	24	55	25,5
1,0976	9047,79	24,4	55	25,5
1,0976	9198,58	24,8	55	25,5
1,0976	9349,38	25,2	55	25,5
1,1074	2073,45	25,6	55	25,5
1,1074	9500,18	26	55	25,5
1,1172	9650,97	26,4	55	25,5
